Optimization,Result
-adce -always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -constmerge -dce, secure
-break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -break-crit-edges -codegenprepare -constmerge -dce, secure
-always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -constmerge -dce, secure
-argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -dce, secure
-deadargelim, secure
-scev-aa -deadargelim, secure
-adce -deadargelim, secure
-scev-aa -adce -deadargelim, secure
-always-inline -deadargelim, secure
-scev-aa -always-inline -deadargelim, secure
-adce -always-inline -deadargelim, secure
-scev-aa -adce -always-inline -deadargelim, secure
-argpromotion -deadargelim, secure
-scev-aa -argpromotion -deadargelim, secure
-adce -argpromotion -deadargelim, secure
-scev-aa -adce -argpromotion -deadargelim, secure
-always-inline -argpromotion -deadargelim, secure
-scev-aa -always-inline -argpromotion -deadargelim, secure
-adce -always-inline -argpromotion -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -deadargelim, secure
-break-crit-edges -deadargelim, secure
-scev-aa -break-crit-edges -deadargelim, secure
-adce -break-crit-edges -deadargelim, secure
-scev-aa -adce -break-crit-edges -deadargelim, secure
-always-inline -break-crit-edges -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -deadargelim, secure
-adce -always-inline -break-crit-edges -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -deadargelim, secure
-argpromotion -break-crit-edges -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -deadargelim, secure
-adce -argpromotion -break-crit-edges -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -deadargelim, secure
-codegenprepare -deadargelim, secure
-scev-aa -codegenprepare -deadargelim, secure
-adce -codegenprepare -deadargelim, secure
-scev-aa -adce -codegenprepare -deadargelim, secure
-always-inline -codegenprepare -deadargelim, secure
-scev-aa -always-inline -codegenprepare -deadargelim, secure
-adce -always-inline -codegenprepare -deadargelim, secure
-scev-aa -adce -always-inline -codegenprepare -deadargelim, secure
-argpromotion -codegenprepare -deadargelim, secure
-scev-aa -argpromotion -codegenprepare -deadargelim, secure
-adce -argpromotion -codegenprepare -deadargelim, secure
-scev-aa -adce -argpromotion -codegenprepare -deadargelim, secure
-always-inline -argpromotion -codegenprepare -deadargelim, secure
-scev-aa -always-inline -argpromotion -codegenprepare -deadargelim, secure
-adce -always-inline -argpromotion -codegenprepare -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -deadargelim, secure
-break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -break-crit-edges -codegenprepare -deadargelim, secure
-adce -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -adce -break-crit-edges -codegenprepare -deadargelim, secure
-always-inline -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -deadargelim, secure
-adce -always-inline -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -deadargelim, secure
-argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-adce -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -deadargelim, secure
-constmerge -deadargelim, secure
-scev-aa -constmerge -deadargelim, secure
-adce -constmerge -deadargelim, secure
-scev-aa -adce -constmerge -deadargelim, secure
-always-inline -constmerge -deadargelim, secure
-scev-aa -always-inline -constmerge -deadargelim, secure
-adce -always-inline -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -constmerge -deadargelim, secure
-argpromotion -constmerge -deadargelim, secure
-scev-aa -argpromotion -constmerge -deadargelim, secure
-adce -argpromotion -constmerge -deadargelim, secure
-scev-aa -adce -argpromotion -constmerge -deadargelim, secure
-always-inline -argpromotion -constmerge -deadargelim, secure
-scev-aa -always-inline -argpromotion -constmerge -deadargelim, secure
-adce -always-inline -argpromotion -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -constmerge -deadargelim, secure
-break-crit-edges -constmerge -deadargelim, secure
-scev-aa -break-crit-edges -constmerge -deadargelim, secure
-adce -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -adce -break-crit-edges -constmerge -deadargelim, secure
-always-inline -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -constmerge -deadargelim, secure
-adce -always-inline -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -constmerge -deadargelim, secure
